P1,Hybrid,P2,HyDe_pvalue,D,D_z,D_pvalue,Dp,Dp_z,Dp_pvalue,D3,D3_z,D3_pvalue,proposed_gamma,isDtestTopology
hypostomus_sp76321,spectracanthicus_murinus57231,panaque_cochliodon19170,1.0,-0.14992486417755171,-19.381102308937425,1.114342787768883e-83,-0.07170499778858912,-16.338052207434597,5.291652419820195e-60,0.09586586898381362,67.10645764004299,0.0,-0.40960050528975206,1
hypostomus_sp76321,panaque_cochliodon19170,spectracanthicus_murinus57231,0.0,0.152857984678845,20.449864254495907,6.024261798305556e-93,0.07270383138540878,15.010554781281769,6.262173727751913e-51,-0.0969698945058288,-69.2138657899675,0.0,0.18377612469004606,1
spectracanthicus_murinus57231,hypostomus_sp76321,panaque_cochliodon19170,1.0,0.1477725874444571,19.20546362496105,3.3313643996501033e-82,0.07096156476542197,15.191260904942181,4.040716196525812e-52,-0.09503750303474301,-70.49795698571498,0.0,0.5634291862284819,2
hypostomus_sp76321,spectracanthicus_murinus57231,aphanotorulus_emarginatus19719,0.0,0.4590964590964591,65.88845370302045,0.0,0.3397334538061893,52.12680028355317,0.0,-0.23389681376498545,-148.40701461385663,0.0,0.8502473498233215,1
hypostomus_sp76321,aphanotorulus_emarginatus19719,spectracanthicus_murinus57231,1.0,-0.44451670115282294,-67.11588957729502,0.0,-0.32781096045690367,-62.037387795908415,0.0,0.22889732698223578,149.68595673869646,0.0,0.5482841908581324,1
spectracanthicus_murinus57231,hypostomus_sp76321,aphanotorulus_emarginatus19719,1.0,-0.4572210398297355,-67.03194237422396,0.0,-0.33820618927671825,-63.74576134159952,0.0,0.23328018775270723,151.4694560493831,0.0,1.2719106890799436,2
hypostomus_sp76321,spectracanthicus_murinus57231,hemiancistrus_punctulatus60931,0.0,0.1021624780829924,12.420733747192434,2.0170301769749397e-35,0.05838733382323469,10.754254773706288,5.658957729583347e-27,-0.05079195270473864,-32.22525708693403,7.817005191745361e-228,0.25352189284743,1
hypostomus_sp76321,hemiancistrus_punctulatus60931,spectracanthicus_murinus57231,1.0,-0.10244988864142539,-13.72818894693339,6.883264236269006e-43,-0.05853005190021764,-11.655918866046513,2.1405876384540567e-31,0.05088442251036058,33.9174983515007,3.678505033317321e-252,-1.0588368923216722,1
spectracanthicus_murinus57231,hypostomus_sp76321,hemiancistrus_punctulatus60931,1.0,-0.10150987224157956,-13.550857839559225,7.830958925946263e-42,-0.0580692312803136,-11.139339965608686,8.071531063607676e-29,0.05058517827524199,32.899993785295955,2.1983035324374235e-237,0.3977267740378286,2
hypostomus_sp76321,spectracanthicus_murinus57231,micracanthicus_vandragti54408,1.0,-0.3047940580688724,-46.48195625338298,0.0,-0.16718931331637818,-44.71249101240098,0.0,0.13661204425255677,97.41912325059603,0.0,2.2718275601778073,1
hypostomus_sp76321,micracanthicus_vandragti54408,spectracanthicus_murinus57231,0.0,0.3091390486624669,54.42246673943923,0.0,0.16914776700969128,36.507113329364174,8.551767080098703e-292,-0.13800441329287125,-95.23945587580718,0.0,0.39065159075831435,1
spectracanthicus_murinus57231,hypostomus_sp76321,micracanthicus_vandragti54408,1.0,0.30186324329143266,51.13435094893616,0.0,0.16586656216322132,36.13838383457538,5.663444890101843e-286,-0.13563584132551543,-90.19442812968194,0.0,0.7358878341896717,2
hypostomus_sp76321,spectracanthicus_murinus57231,pterygoplichthys_multiradiatus47289,0.0,0.06005071461502997,8.0319637610791,9.592470784108826e-16,0.03424364915048145,6.5702753279332375,5.0222309997144286e-11,-0.024677111637856276,-15.917321569358151,4.8051070755990236e-57,0.17471281234278047,1
